phase,workload,repetition,order,variant,elapsed_seconds,exit_code,output_directory,log,command
workflow,stage-task,1,1,before,1.616220700,0,,controlled-workflow/logs/workflow-stage-task-1-1-before.log,git add -- analysis/greedy_failure_paths.py analysis/validate_greedy_failure_paths.py analysis/r1_prefix_exchange_design.json analysis/r1_prefix_exchange_design.md tests/test_greedy_failure_paths.py
workflow,generate-license,1,2,before,0.278631600,0,,controlled-workflow/logs/workflow-generate-license-1-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe .github/scripts/build_license_manifest.py
workflow,stage-license,1,3,before,0.077053200,0,,controlled-workflow/logs/workflow-stage-license-1-3-before.log,git add -- LICENSE_MANIFEST.json
workflow,r1-analysis,1,4,before,0.752095200,0,,controlled-workflow/logs/workflow-r1-analysis-1-4-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task --no-plot
workflow,r1-independent-validation,1,5,before,1.150718500,0,,controlled-workflow/logs/workflow-r1-independent-validation-1-5-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/validate_greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task
workflow,unittest,1,6,before,259.230226200,0,,controlled-workflow/logs/workflow-unittest-1-6-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe -m unittest discover -s tests -v
workflow,content-check,1,7,before,1.429845900,0,,controlled-workflow/logs/workflow-content-check-1-7-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe .github/scripts/check_content_boundary.py --claim-mode evidence_backed_claims
workflow,license-check,1,8,before,0.264106000,0,,controlled-workflow/logs/workflow-license-check-1-8-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe .github/scripts/build_license_manifest.py --check
workflow,mypy,1,9,before,3.915514800,0,,controlled-workflow/logs/workflow-mypy-1-9-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe -m mypy
workflow,staged-whitespace,1,10,before,0.066670900,0,,controlled-workflow/logs/workflow-staged-whitespace-1-10-before.log,git diff --cached --check
workflow,local-commit,1,11,before,0.198695200,0,,controlled-workflow/logs/workflow-local-commit-1-11-before.log,"git commit -m ""feat: add prefix and exchange research analysis"""
workflow,commit-policy,1,12,before,0.246946400,0,,controlled-workflow/logs/workflow-commit-policy-1-12-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe .github/scripts/check_commits.py --base 891c389287bd4fa6adf21a712b8ddab5aa2a4a39 --head HEAD
workflow,stage-task,1,1,after,1.751435500,0,,controlled-workflow/logs/workflow-stage-task-1-1-after.log,git add -- analysis/greedy_failure_paths.py analysis/validate_greedy_failure_paths.py analysis/r1_prefix_exchange_design.json analysis/r1_prefix_exchange_design.md tests/test_greedy_failure_paths.py
workflow,r1-analysis,1,2,after,0.669366200,0,,controlled-workflow/logs/workflow-r1-analysis-1-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task --no-plot
workflow,r1-independent-validation,1,3,after,1.130687100,0,,controlled-workflow/logs/workflow-r1-independent-validation-1-3-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/validate_greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task
workflow,unittest,1,4,after,160.338196400,0,,controlled-workflow/logs/workflow-unittest-1-4-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe -m unittest discover -s tests -v
workflow,mypy,1,5,after,2.334827400,0,,controlled-workflow/logs/workflow-mypy-1-5-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe -m mypy
workflow,staged-whitespace,1,6,after,0.092121200,0,,controlled-workflow/logs/workflow-staged-whitespace-1-6-after.log,git diff --cached --check
workflow,local-commit,1,7,after,0.181918900,0,,controlled-workflow/logs/workflow-local-commit-1-7-after.log,"git commit -m ""feat: add prefix and exchange research analysis"""
